,FSCNAME,stellar_flag,RA_recom,DEC_recom,FLAG_POSITION,zspec,zspecflag,zphot,z,n91,j2,av1,err1,alb,FLUX_FUV,FLUXERR_FUV,FLUX_NUV,FLUXERR_NUV,umag,umagerr,gmag,gmagerr,rmag,rmagerr,imag,imagerr,zmag,zmagerr,jmag,jmagerr,hmag,hmagerr,kmag,kmagerr,am61,am61err,am_71,am71err,am81,am81err,WISE_S34,WISE_errS34,WISE_S46,WISE_errS46,WISE_S12,WISE_errS12,WISE_S22,WISE_errS22,IRAS_S12,IRAS_NQ1,IRAS_S25,IRAS_NQ2,IRAS_S60,IRAS_NQ3,IRAS_S100,IRAS_NQ4,Planck_S857,Planck_errS857,Planck_S545,Planck_errS545,Planck_S353,Planck_errS353,Planck_S217,Planck_errS217,FINT,EFINT,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f12,f25,nzflag,nirtem,errir3,nex,alp1,alp2,alp3,alp4,alp5,alp6,alcirr,alsb,ala220,alagn,alysb,alosb,alir,als12,als25,als60,als90,als100,als110,als140,als160,als250,als350,als550,als850,als1250,als1380,alm,sfr,almd,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,e_RAs,e_DEs,Sp,e_Sp,MajAxis,MinAxis,PA,Mosaic,angDist,Distance,L_843,L_60um,35GHz,L_35GHz
0,F01388-4618 ,1.0,25.23296,-46.048145,2.0,0.0902900025249,5.0,0.111732,0.09029,3.0,1.0,0.0,8.44900035858,11.4399995804,6.334889,2.0096424,24.043325,2.2281432,-99.0,0.10000000149,-99.0,0.0299999993294,-99.0,0.0299999993294,-99.0,0.0299999993294,-99.0,0.0299999993294,14.4149999619,0.0509999990463,13.5520000458,0.0560000017285,12.8190002441,0.0390000008047,13.888999939,0.070000000298,12.9580001831,0.0610000006855,12.4340000153,0.0689999982715,4.67999982834,0.10000000149,4.55,0.0900000035763,46.8400001526,1.0,260.140014648,4.11000013351,0.120999999344,1.0,0.352999985218,3.0,2.91400003433,3.0,3.69499993324,2.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.31999993324,-2.15000009537,-2.1400001049,0.0,0.0,-1.24000000954,-0.449999988079,1.0,5.0,0.894999980927,4.0,0.10000000149,0.0,0.0,0.0,0.899999976158,0.0,11.4799995422,-10.8000001907,-10.7700004578,-12.1199998856,11.9600000381,-11.5600004196,12.0799999237,-1.30999994278,-0.600000023842,0.460000008345,0.600000023842,0.600000023842,0.589999973774,0.509999990463,0.430000007153,0.0599999986589,-0.330000013113,-0.939999997616,-1.59000003338,-2.20000004768,-2.34999990463,12.0,2.38000011444,8.89999961853,25.23233,-46.04794,01 40 55.76,-46 02 52.60,1.89999997616,2.20000004768,18.5,0.899999976158,65.8000030518,49.0999984741,162.0,J0140M44,1.73853,412.78067666,23.5786104513,11.7099282698,1.84124043348,22.5765492207
1,F21200-5145 ,1.0,320.878815,-51.539974,2.0,0.0904000028968,5.0,0.101539,0.0904,3.0,1.0,0.0,2.98799991608,11.4899997711,61.029015,7.366817,89.55523,5.563336,-99.0,0.10000000149,-99.0,0.0299999993294,-99.0,0.0299999993294,-99.0,0.0299999993294,-99.0,0.0299999993294,15.0679998398,0.103000000119,14.3540000916,0.111000001431,13.4960002899,0.0860000029206,13.7510004044,0.0719999969006,13.0500001907,0.101999998093,12.4040002823,0.0939999967813,2.82999992371,0.0900000035763,2.53,0.0799999982119,19.0599994659,1.0,96.8300018311,4.19000005722,0.070000000298,1.0,0.157000005245,2.0,0.875,3.0,1.27999997139,2.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.25999999046,-2.18000006676,-2.13000011444,0.0,0.0,-1.50999999046,-0.800000011921,1.0,2.0,0.263000011444,4.0,0.10000000149,0.899999976158,0.0,0.0,0.0,0.0,10.9600000381,11.529999733,-10.25,-11.6000003815,-10.1800003052,-11.0399999619,11.6300001144,-1.42999994755,-0.819999992847,-0.0599999986589,0.0599999986589,0.070000000298,0.0599999986589,0.0,-0.0799999982119,-0.430000007153,-0.810000002384,-1.41999995708,-2.05999994278,-2.67000007629,-2.82999992371,12.0500001907,1.87999999523,8.18999958038,320.88,-51.54031,21 23 31.20,-51 32 25.10,2.5,3.0,8.39999961853,0.699999988079,57.0999984741,45.4000015259,169.800003052,J2112M52,2.91602,413.314686959,23.2368409466,11.1885697291,0.836049370983,22.2347936005
2,F11230-3641 ,1.0,171.364334,-36.969666,2.0,0.0912000015378,5.0,0.153453,0.0912,3.0,1.0,0.0,10.5,10.8500003815,15.122178,8.216008,25.632563,6.433142,-99.0,0.10000000149,-99.0,0.0299999993294,-99.0,0.0299999993294,-99.0,0.0299999993294,-99.0,0.0299999993294,15.5089998245,0.0960000008345,14.5850000381,0.097999997437,13.8339996338,0.0780000016093,14.6649999619,0.16400000453,13.6280002594,0.143000006676,12.7670001984,0.111000001431,3.71000003815,0.0799999982119,3.17,0.0599999986589,16.9099998474,1.0,30.1399993896,1.22000002861,0.130999997258,1.0,0.0740000009537,1.0,0.56099998951,3.0,2.31299996376,2.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,9.10000038147,0.600000023842,0.0,0.0,0.0,0.0,0.0,-2.63000011444,-2.42000007629,-2.26999998093,0.0,0.0,-1.63999998569,-1.32000005245,1.0,2.0,14.7390003204,4.0,0.0,1.0,0.0,0.0,0.0,0.0,-10.5200004578,11.4399995804,-10.1199998856,-11.4600000381,-10.0500001907,-10.8999996185,11.4399995804,-1.70000004768,-1.00999999046,-0.25,-0.20000000298,-0.219999998808,-0.25,-0.370000004768,-0.469999998808,-0.910000026226,-1.33000004292,-1.97000002861,-2.63000011444,-3.25,-3.41000008583,11.3900003433,1.74000000954,7.48000001907,171.36275,-36.96953,11 25 27.06,-36 58 10.30,3.90000009537,3.0,14.5,1.39999997616,76.5999984741,52.0999984741,85.0,J1124M36,4.582191,417.201366882,23.482059435,11.0036542984,1.44351598541,22.4801130429
3,F06206-6315 ,1.0,95.254951,-63.289948,2.0,0.0924400016665,5.0,0.122018,0.09244,3.0,1.0,0.0,16.2689990997,10.9799995422,88.90193,10.540341,106.08911,7.067231,-99.0,0.10000000149,-99.0,0.0299999993294,-99.0,0.0299999993294,-99.0,0.0299999993294,-99.0,0.0299999993294,15.1840000153,0.0860000029206,14.3809995651,0.107000000775,13.420999527,0.0759999975562,14.0850000381,0.150999993086,13.3299999237,0.180000007153,12.2030000687,0.115999996662,3.11999988556,0.0799999982119,5.69,0.119999997318,34.9099998474,1.0,191.779998779,3.3900001049,0.0689999982715,1.0,0.293999999762,3.0,3.95900011063,3.0,4.57700014114,2.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3900001049,-2.29999995232,-2.04999995232,0.0,0.0,-1.27999997139,-0.52999997139,1.0,5.0,2.3710000515,4.0,0.0,0.0,0.0,0.0,1.0,0.0,-11.3699998856,-10.9899997711,-10.970000267,-12.3100004196,12.1999998093,-11.75,12.1999998093,-1.53999996185,-0.490000009537,0.600000023842,0.670000016689,0.639999985695,0.600000023842,0.460000008345,0.340000003576,-0.140000000596,-0.589999973774,-1.25,-1.92999994755,-2.55999994278,-2.72000002861,11.529999733,2.56999993324,8.84000015259,95.25512,-63.29042,06 21 01.23,-63 17 25.50,1.89999997616,2.09999990463,21.1000003815,1.10000002384,50.9000015259,47.7999992371,142.399993896,J0630M64,1.721064,423.236115471,23.6574478854,11.8647509533,2.1013210238,22.6556578451
4,F21130-4446 ,1.0,319.077179,-44.560398,2.0,0.0925500020385,5.0,0.081434,0.09255,3.0,6.0,0.0,11.4689998627,11.4899997711,110.786644,6.4632277,171.94992,4.4870644,-99.0,0.10000000149,-99.0,0.0299999993294,-99.0,0.0299999993294,-99.0,0.0299999993294,-99.0,0.0299999993294,15.6339998245,0.133000001311,15.0150003433,0.105999998748,14.1680002213,0.104000002146,14.3520002365,0.111000001431,14.2749996185,0.138999998569,13.1700000763,0.149000003934,1.76999998093,0.0599999986589,1.88,0.070000000298,17.8700008392,1.0,79.4300003052,4.67000007629,0.0729999989271,1.0,0.157000005245,1.0,3.10599994659,3.0,3.78200006485,2.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,-2.67000007629,-2.43000006676,0.0,0.0,-1.53999996185,-0.860000014305,1.0,5.0,2.79800009727,4.0,0.0,0.0,0.0,0.0,1.0,0.0,-11.2299995422,-10.8500003815,-10.8199996948,-12.1700000763,12.0600004196,-11.6099996567,12.0600004196,-1.64999997616,-0.589999973774,0.490000009537,0.560000002384,0.540000021458,0.5,0.34999999404,0.230000004172,-0.239999994636,-0.689999997616,-1.35000002384,-2.03999996185,-2.66000008583,-2.82999992371,11.4899997711,2.43000006676,8.69999980927,319.076,-44.56133,21 16 18.24,-44 33 40.80,2.0,2.59999990463,13.8999996185,0.899999976158,64.8000030518,45.0,0.10000000149,J2120M44,4.516957,423.772067411,23.4772794443,11.7604660982,1.38432669629,22.4755032485
5,F23389-6139 ,1.0,355.431427,-61.381283,2.0,0.0940399989486,5.0,0.081434,0.09404,3.0,2.0,0.0,0.145999997854,11.0500001907,6.055508,3.2580872,17.543594,2.5276046,-99.0,0.10000000149,-99.0,0.0299999993294,-99.0,0.0299999993294,-99.0,0.0299999993294,-99.0,0.0299999993294,15.5609998703,0.0890000015497,14.8179998398,0.105999998748,13.8649997711,0.0520000010729,14.9309997559,0.127000004053,14.1289997101,0.153999999166,13.7740001678,0.187000006437,1.86000001431,0.0399999991059,3.49,0.070000000298,19.2600002289,1.0,140.600006104,3.00999999046,0.0630000010133,1.0,0.244000002742,3.0,3.62800002098,3.0,4.26000022888,2.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.73000001907,-2.61999988556,-2.68000006676,0.0,0.0,-1.61000001431,-0.610000014305,1.0,5.0,0.280000001192,4.0,0.0,0.0,0.0,0.0,1.0,0.0,-11.3100004196,-10.9300003052,-10.9099998474,-12.25,12.1400003433,-11.6899995804,12.1400003433,-1.59000003338,-0.52999997139,0.560000002384,0.629999995232,0.610000014305,0.569999992847,0.419999986887,0.300000011921,-0.170000001788,-0.620000004768,-1.27999997139,-1.97000002861,-2.58999991417,-2.75999999046,11.5900001526,2.50999999046,8.77999973297,355.43067,-61.38131,23 41 43.36,-61 22 52.70,1.5,1.70000004768,157.300003052,4.80000019073,52.0,48.9000015259,135.100006104,J2330M60,1.308926,431.041526601,24.5457669755,11.8427055052,15.6725701244,23.544178446
7,F20592-5633 ,1.0,315.738708,-56.361778,2.0,0.0958700031042,5.0,0.096478,0.09587,3.0,3.0,0.0,1.96099996567,11.4899997711,2.073586,1.974511,10.8535185,2.0328104,-99.0,0.10000000149,-99.0,0.0299999993294,-99.0,0.0299999993294,-99.0,0.0299999993294,-99.0,0.0299999993294,15.1190004349,0.101999998093,14.3219995499,0.120999999344,13.7290000916,0.0759999975562,13.9340000153,0.112000003457,13.3059997559,0.0729999989271,12.6440000534,0.115000002086,3.08999991417,0.070000000298,6.13,0.119999997318,13.4200000763,1.0,62.9799995422,1.64999997616,0.0810000002384,1.0,0.133000001311,1.0,0.544000029564,3.0,0.992999970913,2.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.32999992371,-2.28999996185,-2.22000002861,0.0,0.0,-1.67999994755,-0.97000002861,1.0,2.0,0.680999994278,4.0,0.20000000298,0.800000011921,0.0,0.0,0.0,0.0,11.1099996567,11.3199996948,-10.1000003815,-11.4399995804,-10.029999733,-10.8900003433,11.529999733,-1.57000005245,-1.03999996185,-0.259999990463,-0.0799999982119,-0.0500000007451,-0.0399999991059,-0.070000000298,-0.129999995232,-0.449999988079,-0.819999992847,-1.40999996662,-2.04999995232,-2.66000008583,-2.81999993324,11.8699998856,1.73000001907,8.27999973297,315.73825,-56.36172,21 02 57.18,-56 21 42.20,1.5,1.70000004768,58.0,1.79999995232,54.2999992371,45.0999984741,179.800003052,J2048M56,0.936911,439.994767381,24.1303230044,11.0364939467,5.78188892415,23.1289647676
12,F05190-3928 ,1.0,80.187881,-39.429222,2.0,0.0965899974108,5.0,0.071519,0.09659,3.0,2.0,0.0,2.13899993896,11.4200000763,309.14087,19.44972,500.05136,14.101144,-99.0,0.10000000149,-99.0,0.0299999993294,-99.0,0.0299999993294,-99.0,0.0299999993294,-99.0,0.0299999993294,14.5659999847,0.0590000003576,13.9709997177,0.0630000010133,13.0600004196,-99.0,14.0600004196,0.0790000036359,13.1719999313,0.0780000016093,12.8599996567,0.10000000149,4.65000009537,0.10000000149,5.44,0.10000000149,58.2099990845,1.0,314.769989014,6.15000009537,0.0920000001788,1.0,0.370000004768,3.0,1.55599999428,3.0,1.37800002098,2.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,9.69999980927,0.600000023842,0.0,0.0,0.0,0.0,0.0,-2.38000011444,-2.23000001907,-2.30999994278,0.0,0.0,-1.14999997616,-0.430000007153,1.0,2.0,1.17200005054,4.0,0.0,0.990000009537,0.00999999977648,0.0,0.0,0.0,-10.970000267,11.8800001144,-10.5699996948,11.2399997711,-10.4899997711,-11.3500003815,11.970000267,-0.990000009537,-0.439999997616,0.189999997616,0.239999994636,0.230000004172,0.20000000298,0.070000000298,-0.0299999993294,-0.460000008345,-0.879999995232,-1.51999998093,-2.19000005722,-2.79999995232,-2.96000003815,11.970000267,2.18000006676,7.92000007629,80.18721,-39.43067,05 20 44.93,-39 25 50.40,3.09999990463,2.5,16.2999992371,1.39999997616,70.0,48.2000007629,88.0,J0520M40,5.536655,443.524854668,23.586023486,11.4998455156,1.62524879042,22.584755776
15,F20227-6950 ,1.0,306.949615,-69.675659,2.0,0.0975999981165,5.0,0.153453,0.0976,3.0,1.0,0.0,1.1629999876,10.8800001144,37.79598,7.717169,62.480415,6.010073,-99.0,0.10000000149,-99.0,0.0299999993294,-99.0,0.0299999993294,-99.0,0.0299999993294,-99.0,0.0299999993294,15.4379997253,0.0780000016093,14.5200004578,0.0729999989271,13.6700000763,0.054999999702,14.6470003128,0.112000003457,13.859000206,0.136999994516,13.2060003281,0.112999998033,2.36999988556,0.0900000035763,2.23,0.0599999986589,19.0100002289,1.0,74.9499969482,2.38000011444,0.0949999988079,2.0,0.166999995708,3.0,1.40699994564,3.0,2.65499997139,2.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.61999988556,-2.50999999046,-2.45000004768,0.0,0.0,-1.01999998093,-0.769999980927,1.0,3.0,0.758000016212,4.0,0.0,0.0,0.0157999992371,0.984200000763,0.0,0.0,-10.9300003052,-10.5399999619,11.8199996948,11.3900003433,-10.4499998093,-11.3100004196,11.9499998093,-1.07000005245,-0.639999985695,0.15000000596,0.379999995232,0.40000000596,0.40000000596,0.340000003576,0.270000010729,-0.10000000149,-0.490000009537,-1.10000002384,-1.74000000954,-2.34999990463,-2.50999999046,11.4200000763,2.19000005722,8.46000003815,306.94675,-69.67572,20 27 47.22,-69 40 32.60,2.79999995232,3.0,11.1000003815,1.0,48.5,48.5,98.1999969482,J2024M68,3.589123,448.483997828,23.4288169098,11.4657879842,1.10708805412,22.4276760681
17,F02364-4751 ,1.0,39.554485,-47.636482,2.0,0.0983100011945,5.0,0.122018,0.09831,3.0,1.0,0.0,9.56999969482,11.1199998856,11.413659,3.746496,17.757044,3.3902502,-99.0,0.10000000149,-99.0,0.0299999993294,-99.0,0.0299999993294,-99.0,0.0299999993294,-99.0,0.0299999993294,14.8500003815,0.0670000016689,13.75,0.0670000016689,12.9099998474,0.0489999987185,14.1540002823,0.082000002265,13.2299995422,0.0879999995232,12.579000473,0.0869999974966,4.38000011444,0.0900000035763,5.35,0.10000000149,34.7200012207,1.0,120.779998779,2.80999994278,0.0599999986589,1.0,0.17499999702,3.0,2.79399991035,3.0,4.95300006866,2.0,444.588,211.788,-43.986,150.735,52.502,88.742,-101.545,106.42199707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.42000007629,-2.25999999046,-2.20000004768,0.0,0.0,-1.35000002384,-0.75,1.0,5.0,6.11999988556,4.0,0.0,0.0,0.0,0.0,1.0,0.0,-11.2299995422,-10.8400001526,-10.8199996948,-12.1599998474,12.0500001907,-11.6099996567,12.0500001907,-1.71000003815,-0.649999976158,0.449999988079,0.519999980927,0.5,0.460000008345,0.310000002384,0.20000000298,-0.280000001192,-0.730000019073,-1.38999998569,-2.06999993324,-2.70000004768,-2.8599998951,11.6700000763,2.42000007629,8.68999958038,39.5545,-47.63683,02 38 13.08,-47 38 12.60,1.70000004768,1.79999995232,29.2999992371,1.20000004768,60.5999984741,45.0,91.3000030518,J0240M48,1.253328,451.975153831,23.8570967229,11.7704555103,2.9229133373,22.8560450615
